script_id,updated_on,promoter_shares,public _shares,total_listed_shares,symbol
131,"Jul 19, 2024","158,121,099","112,448,885","270,569,984",NABIL
132,"Jul 19, 2024","207,534,107","133,751,842","341,285,949",NIMB
133,"Nov 26, 2024","70,507,469","29,916,215","100,423,684",SCB
134,"Dec 27, 2023","158,071,639","58,494,519","216,566,158",HBL
136,"Feb 20, 2022","52,091,090","48,762,908","100,853,998",NBB
137,"Dec 4, 2024","76,671,424","52,775,519","129,446,943",EBL
138,"Nov 24, 2022","57,433,311","55,181,025","112,614,336",BOKL
139,"Jan 5, 2024","76,079,591","73,096,079","149,175,670",NICA
140,"Sep 24, 2023","59,268,922","56,944,651","116,213,573",MBL
141,"Dec 31, 2024","124,288,945","119,176,178","243,465,123",LSL
142,"Jan 21, 2023","134,053,321","128,205,292","262,258,613",KBL
143,"Feb 18, 2025","10,204,250","9,804,082","20,008,332",LUBL
144,"Oct 31, 2022","58,724,828","56,421,900","115,146,728",NCCB
145,"Mar 19, 2023","71,858,899","69,040,903","140,899,802",SBL
146,"Feb 18, 2025","2,209,208",0,"2,209,208",YHL
147,"Feb 10, 2025","86,858,329","15,327,940","102,186,269",SHL
149,"Sep 22, 2024","8,291,465","3,553,485","11,844,950",OHL
150,"Feb 18, 2025","77,355",0,"77,355",ESC
151,"Feb 18, 2025","250,556","240,729","491,285",NFD
152,"Oct 19, 2023","19,731,504","4,932,876","24,664,380",NHPC
154,"Dec 29, 2024","44,790,227","43,033,747","87,823,974",CHCL
155,"Aug 8, 2024","681,845","2,525,326","3,207,171",STC
156,"Nov 26, 2024","39,681,033","418,967","40,100,000",BBC
157,"Feb 18, 2025","56,018",0,"56,018",NBCK
158,"May 17, 2021","50,000",0,"50,000",NTL
159,"May 17, 2021","21,525","19,475","41,000",NWC
160,"Feb 18, 2025","2,956,741","22,043","2,978,784",NIDC
161,"Feb 18, 2025","1,696,000","1,504,000","3,200,000",NDB
162,"Feb 18, 2025","14,000,367","6,000,157","20,000,524",GRAND
163,"Feb 13, 2023","13,321,607","12,799,191","26,120,798",NUBL
164,"Dec 29, 2024","16,398,264","15,755,195","32,153,459",CBBL
165,"Feb 18, 2025","1,746,850","1,818,150","3,565,000",PDBL
166,"Dec 31, 2024","9,528,258","9,154,600","18,682,858",DDBL
167,"Feb 18, 2025","2,333,760","2,242,240","4,576,000",GDBL1
168,"Feb 18, 2025","5,386,618","5,175,377","10,561,995",BUDBL
170,"Feb 18, 2025","2,417,053","2,322,266","4,739,319",BBBL
172,"Dec 10, 2021","1,837,273","787,403","2,624,676",NABBC
173,"Feb 18, 2025","1,455,300","623,700","2,079,000",BBBLN
174,"Feb 18, 2025","2,599,308","2,497,374","5,096,682",SBBLJ
175,"Feb 18, 2025","3,696,000","1,584,000","5,280,000",GDBNL
176,"Feb 25, 2024","8,385,634","8,056,786","16,442,420",NICL
177,"Feb 18, 2025","2,339,736","326,629","2,666,365",RBCL
178,"Aug 7, 2024","33,878,866","18,242,467","52,121,333",NLICL
179,"Mar 7, 2024","12,750,803","12,250,771","25,001,574",HEI
180,"Mar 7, 2024","10,710,000","10,290,000","21,000,000",UAIL
181,"Apr 24, 2022","10,098,443","2,447,764","12,546,207",EIC
182,"Apr 3, 2023","14,313,403","13,752,096","28,065,499",SPIL
183,"Jan 28, 2025","15,092,705","10,061,804","25,154,509",NIL
184,"Apr 18, 2024","7,351,589","7,063,292","14,414,881",PRIN
185,"May 14, 2023","16,371,514","9,854,868","26,226,382",SALICO
186,"Jun 1, 2023","15,449,608","14,843,739","30,293,347",IGI
187,"Jan 22, 2025","46,046,693","44,240,940","90,287,633",NLIC
188,"Feb 12, 2025","33,673,400","16,326,600","50,000,000",LICN
189,"Apr 27, 2023","7,353,505","4,902,336","12,255,841",PICL
190,"Apr 25, 2023","11,236,385","2,809,096","14,045,481",LGIL
192,"Feb 11, 2025","14,894,254","14,310,165","29,204,419",SICL
193,"Feb 18, 2025","35,827",0,"35,827",MSM
194,"Feb 18, 2025","4,360,378","4,029,061","8,389,439",NFS
195,"Feb 18, 2025","1,461,666","487,221","1,948,887",BNL
196,"Feb 18, 2025","1,282,759","1,049,530","2,332,289",NCM
197,"May 17, 2021","68,750",0,"68,750",BJM
198,"Sep 20, 2024","581,573","147,672","729,245",NLO
199,"Feb 18, 2025","4,124,748","3,962,992","8,087,740",NNFC
200,"Feb 18, 2025","2,592,000","1,728,000","4,320,000",NSM
201,"Feb 18, 2025","81,507","19,743","101,250",NVG
202,"May 17, 2021","14,912,083","14,327,295","29,239,378",KBBL
203,"Feb 18, 2025","1,806,966",0,"1,806,966",RJM
204,"Sep 24, 2024","4,426,768","4,253,170","8,679,938",GUFL
205,"Feb 18, 2025","1,306,693",0,"1,306,693",BSM
206,"Feb 18, 2025","1,473,965","1,482,835","2,956,800",PFCL
207,"May 17, 2021","2,875,050","958,350","3,833,400",GRU
208,"Feb 18, 2025","1,049,417","699,611","1,749,028",UFCL
209,"Feb 18, 2025","1,270,288",0,"1,270,288",JSM
210,"Jan 5, 2025","51,853,701","12,963,425","64,817,126",CIT
211,"Feb 18, 2025","412,758","137,585","550,343",AVU
212,"Feb 18, 2025","1,028,709","988,366","2,017,075",NABB
213,"Feb 18, 2025","907,500","302,500","1,210,000",BNT
214,"Feb 18, 2025","2,136,517",0,"2,136,517",NFL
215,"Feb 18, 2025","18,650,000",0,"18,650,000",HBT
216,"Feb 18, 2025","5,102,053","4,901,971","10,004,024",ACEDBL
217,"Feb 18, 2025","165,000",0,"165,000",BSL
218,"Feb 18, 2025","2,019,584",0,"2,019,584",YFL
219,"Aug 8, 2024","782,595","138,105","920,700",UNL
220,"Feb 18, 2025","1,557,085",0,"1,557,085",GFLK
221,"Feb 18, 2025","135,000","90,000","225,000",SFC
222,"Feb 18, 2025","90,000",0,"90,000",NKU
223,"Feb 18, 2025","1,517,424",0,"1,517,424",UFLK
224,"Feb 18, 2025","480,000",0,"480,000",HTL
225,"Feb 18, 2025","1,147,675","765,116","1,912,791",NHMF
227,"Sep 9, 2024","5,469,876","3,434,366","8,904,242",BFC
228,"May 17, 2021","157,262","104,840","262,102",FHL
229,"Feb 18, 2025","2,463,300","2,366,700","4,830,000",MFL
231,"Feb 18, 2025","1,033,284","845,413","1,878,697",LFC
232,"Dec 31, 2021","4,825,187","4,635,965","9,461,152",GFCL
233,"Feb 18, 2025","210,680",0,"210,680",NBBU
234,"Feb 18, 2025","1,547,888","1,487,186","3,035,074",PFC
235,"Jan 2, 2025","17,825,730","12,908,288","30,734,018",HDL
236,"Jan 2, 2023","6,495,340","4,330,227","10,825,567",PFL
237,"Feb 18, 2025","2,840,063","2,728,687","5,568,750",LFLC
238,"Mar 20, 2022","93,670,201","89,996,859","183,667,060",NMB
239,"Feb 18, 2025","1,654,002","1,589,138","3,243,140",SFL
240,"Feb 18, 2025","1,076,400",0,"1,076,400",AEFL
242,"May 17, 2021","5,308,257","5,100,090","10,408,347",UFL
243,"Feb 18, 2025","3,304,800","3,175,200","6,480,000",ILFC
244,"Jan 2, 2025","5,100,002","4,900,002","10,000,004",SIFC
245,"Dec 31, 2021","5,123,928","4,364,828","9,488,756",CFCL
246,"Feb 18, 2025","3,000,000",0,"3,000,000",NSLMB
247,"Feb 18, 2025","760,191","506,794","1,266,985",PFCLL
249,"Feb 18, 2025","2,928,053","1,816,037","4,744,090",SYFL
250,"Feb 6, 2022","3,521,412","3,383,316","6,904,728",JFL
251,"Feb 18, 2025","10,018,041",0,"10,018,041",STFL
252,"Feb 18, 2025","1,954,260","1,302,840","3,257,100",OFL
253,"Feb 18, 2025","1,501,020",0,"1,501,020",CMBF
254,"Feb 18, 2025","2,378,376","1,585,584","3,963,960",FFCL
255,"Mar 15, 2023","120,066,699","115,358,200","235,424,899",PRVU
256,"Feb 16, 2025","4,176,448","4,012,666","8,189,114",SFCL
257,"Feb 18, 2025","4,200,000",0,"4,200,000",BJFL
259,"Feb 18, 2025","5,610,417","3,740,278","9,350,695",CMB
260,"Feb 18, 2025","1,644,094","1,579,619","3,223,713",PFIL
261,"Jun 30, 2021","5,007,777","4,622,562","9,630,339",SFFIL
262,"Feb 18, 2025","4,433,288","2,232,308","6,665,596",APEX
263,"Jan 24, 2024","5,161,671","4,960,089","10,121,760",GMFIL
264,"Feb 18, 2025","4,318,445",0,"4,318,445",IMEFI
265,"Feb 18, 2025","1,001,000",0,"1,001,000",BFIL
269,"Feb 18, 2025","10,000,000",0,"10,000,000",NCMMF
270,"Feb 18, 2025","913,353","583,947","1,497,300",IFIL
271,"May 17, 2021","46,170,783","44,360,163","90,530,946",SODBL
277,"Feb 18, 2025","2,000,000",0,"2,000,000",EBLCP
278,"Feb 18, 2025","1,346,555","1,293,748","2,640,303",NEFL
279,"Feb 18, 2025","2,169,325","2,084,253","4,253,578",BLDBL
280,"Jan 1, 2023","7,159,992","6,879,208","14,039,200",SIL
290,"Feb 18, 2025","4,323,357","3,789,529","8,112,886",IDBL
296,"Feb 18, 2025","2,202,750","1,802,250","4,005,000",CEFL
307,"Mar 24, 2022","164,754,000","15,246,000","180,000,000",NTC
308,"Feb 18, 2025","5,770,773","1,888,867","7,659,640",PRBBL
311,"May 17, 2021","17,761,027","16,726,405","34,487,432",DBBL
320,"Feb 18, 2025","1,665,000",0,"1,665,000",LBFIL
321,"Feb 18, 2025","3,988,426","2,658,950","6,647,376",SAFL
331,"Feb 18, 2025","1,015,539","975,713","1,991,252",SUBBL
332,"Feb 18, 2025","1,446,850","1,390,110","2,836,960",KAFIL
336,"Feb 18, 2025","5,826,240","5,597,760","11,424,000",CEDBL
337,"Feb 18, 2025","6,273,117","6,027,111","12,300,228",TBBL
338,"Jan 2, 2022","4,366,146","4,194,924","8,561,070",PROFL
340,"Feb 18, 2025","409,200","190,800","600,000",PGBL
341,"Feb 16, 2025","195,305,630","185,852,898","381,158,528",GBIME
342,"Feb 18, 2025","4,021,768","3,864,050","7,885,818",REDBL
344,"Feb 18, 2025","4,109,700","2,890,300","7,000,000",AXIS
348,"Oct 9, 2024","75,440,119","72,250,012","147,690,131",CZBIL
349,"Feb 18, 2025","20,000,000",0,"20,000,000",BOAN
356,"Feb 18, 2025","1,200,000",0,"1,200,000",AFL
357,"Mar 16, 2023","98,953,137","95,072,622","194,025,759",PCBL
358,"Jan 2, 2025","24,644,635","11,592,147","36,236,782",LBBL
359,"Feb 20, 2022","51,606,354","49,582,575","101,188,929",SRBL
360,"Oct 20, 2024","26,936,021","11,544,009","38,480,030",AHPC
361,"Feb 18, 2025","490,000","210,000","700,000",CFL
364,"Feb 18, 2025","700,000","300,000","1,000,000",MGBL
